pair_page,species_a,species_b,existing_a_hub_link,existing_b_hub_link,proposed_a_target,proposed_b_target,action
/compatibility/african-butterfly-fish-and-angelfish/,african-butterfly-fish,angelfish,False,False,/compatibility/african-butterfly-fish/,/compatibility/angelfish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-betta-fish/,african-butterfly-fish,betta-fish,False,False,/compatibility/african-butterfly-fish/,/guides/betta-fish-care/tank-mates/,Ensure both owner links
/compatibility/african-butterfly-fish-and-black-ghost-knifefish/,african-butterfly-fish,black-ghost-knifefish,False,False,/compatibility/african-butterfly-fish/,/compatibility/black-ghost-knifefish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-black-neon-tetra/,african-butterfly-fish,black-neon-tetra,False,False,/compatibility/african-butterfly-fish/,/compatibility/black-neon-tetra/,Ensure both owner links
/compatibility/african-butterfly-fish-and-black-phantom-tetra/,african-butterfly-fish,black-phantom-tetra,False,False,/compatibility/african-butterfly-fish/,/compatibility/black-phantom-tetra/,Ensure both owner links
/compatibility/african-butterfly-fish-and-black-ruby-barb/,african-butterfly-fish,black-ruby-barb,False,False,/compatibility/african-butterfly-fish/,/compatibility/black-ruby-barb/,Ensure both owner links
/compatibility/african-butterfly-fish-and-blue-tang/,african-butterfly-fish,blue-tang,False,False,/compatibility/african-butterfly-fish/,/compatibility/blue-tang/,Ensure both owner links
/compatibility/african-butterfly-fish-and-bolivian-ram/,african-butterfly-fish,bolivian-ram,False,False,/compatibility/african-butterfly-fish/,/compatibility/bolivian-ram/,Ensure both owner links
/compatibility/african-butterfly-fish-and-bosemans-rainbowfish/,african-butterfly-fish,bosemans-rainbowfish,False,False,/compatibility/african-butterfly-fish/,/compatibility/bosemans-rainbowfish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-bristlenose-pleco/,african-butterfly-fish,bristlenose-pleco,False,False,/compatibility/african-butterfly-fish/,/compatibility/bristlenose-pleco/,Ensure both owner links
/compatibility/african-butterfly-fish-and-cardinal-tetra/,african-butterfly-fish,cardinal-tetra,False,False,/compatibility/african-butterfly-fish/,/compatibility/cardinal-tetra/,Ensure both owner links
/compatibility/african-butterfly-fish-and-cherry-barb/,african-butterfly-fish,cherry-barb,False,False,/compatibility/african-butterfly-fish/,/compatibility/cherry-barb/,Ensure both owner links
/compatibility/african-butterfly-fish-and-cherry-shrimp/,african-butterfly-fish,cherry-shrimp,False,False,/compatibility/african-butterfly-fish/,/compatibility/cherry-shrimp/,Ensure both owner links
/compatibility/african-butterfly-fish-and-chili-rasbora/,african-butterfly-fish,chili-rasbora,False,False,/compatibility/african-butterfly-fish/,/compatibility/chili-rasbora/,Ensure both owner links
/compatibility/african-butterfly-fish-and-clown-knifefish/,african-butterfly-fish,clown-knifefish,False,False,/compatibility/african-butterfly-fish/,/compatibility/clown-knifefish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-clown-loach/,african-butterfly-fish,clown-loach,False,False,/compatibility/african-butterfly-fish/,/compatibility/clown-loach/,Ensure both owner links
/compatibility/african-butterfly-fish-and-clown-pleco/,african-butterfly-fish,clown-pleco,False,False,/compatibility/african-butterfly-fish/,/compatibility/clown-pleco/,Ensure both owner links
/compatibility/african-butterfly-fish-and-congo-tetra/,african-butterfly-fish,congo-tetra,False,False,/compatibility/african-butterfly-fish/,/compatibility/congo-tetra/,Ensure both owner links
/compatibility/african-butterfly-fish-and-coral-beauty/,african-butterfly-fish,coral-beauty,False,False,/compatibility/african-butterfly-fish/,/compatibility/coral-beauty/,Ensure both owner links
/compatibility/african-butterfly-fish-and-corydoras/,african-butterfly-fish,corydoras,False,False,/compatibility/african-butterfly-fish/,/compatibility/corydoras/,Ensure both owner links
/compatibility/african-butterfly-fish-and-denison-barb/,african-butterfly-fish,denison-barb,False,False,/compatibility/african-butterfly-fish/,/compatibility/denison-barb/,Ensure both owner links
/compatibility/african-butterfly-fish-and-diamond-tetra/,african-butterfly-fish,diamond-tetra,False,False,/compatibility/african-butterfly-fish/,/compatibility/diamond-tetra/,Ensure both owner links
/compatibility/african-butterfly-fish-and-discus/,african-butterfly-fish,discus,False,False,/compatibility/african-butterfly-fish/,/guides/discus-fish-care/tank-mates/,Ensure both owner links
/compatibility/african-butterfly-fish-and-dwarf-chain-loach/,african-butterfly-fish,dwarf-chain-loach,False,False,/compatibility/african-butterfly-fish/,/compatibility/dwarf-chain-loach/,Ensure both owner links
/compatibility/african-butterfly-fish-and-dwarf-gourami/,african-butterfly-fish,dwarf-gourami,False,False,/compatibility/african-butterfly-fish/,/compatibility/dwarf-gourami/,Ensure both owner links
