species,existing_hub,proposed_tank_mates_owner,existing_editorial_page,wiki_page,wiki_links_hub,action,hub_in_sitemap
african-butterfly-fish,/compatibility/african-butterfly-fish/,/compatibility/african-butterfly-fish/,,,False,Upgrade existing hub; add care and pair links,True
angelfish,/compatibility/angelfish/,/compatibility/angelfish/,,/wiki/angelfish/,False,Upgrade existing hub; add care and pair links,True
betta-fish,/compatibility/betta-fish/,/guides/betta-fish-care/tank-mates/,/guides/betta-fish-care/tank-mates/,/wiki/betta-fish/,False,Merge overlapping hub into editorial owner after traffic review,True
black-ghost-knifefish,/compatibility/black-ghost-knifefish/,/compatibility/black-ghost-knifefish/,,,False,Upgrade existing hub; add care and pair links,True
black-neon-tetra,/compatibility/black-neon-tetra/,/compatibility/black-neon-tetra/,,,False,Upgrade existing hub; add care and pair links,True
black-phantom-tetra,/compatibility/black-phantom-tetra/,/compatibility/black-phantom-tetra/,,,False,Upgrade existing hub; add care and pair links,True
black-ruby-barb,/compatibility/black-ruby-barb/,/compatibility/black-ruby-barb/,,,False,Upgrade existing hub; add care and pair links,True
blue-tang,/compatibility/blue-tang/,/compatibility/blue-tang/,,,False,Upgrade existing hub; add care and pair links,True
bolivian-ram,/compatibility/bolivian-ram/,/compatibility/bolivian-ram/,,,False,Upgrade existing hub; add care and pair links,True
bosemans-rainbowfish,/compatibility/bosemans-rainbowfish/,/compatibility/bosemans-rainbowfish/,,,False,Upgrade existing hub; add care and pair links,True
bristlenose-pleco,/compatibility/bristlenose-pleco/,/compatibility/bristlenose-pleco/,,/wiki/bristlenose-pleco/,False,Upgrade existing hub; add care and pair links,True
cardinal-tetra,/compatibility/cardinal-tetra/,/compatibility/cardinal-tetra/,,/wiki/cardinal-tetra/,False,Upgrade existing hub; add care and pair links,True
cherry-barb,/compatibility/cherry-barb/,/compatibility/cherry-barb/,,/wiki/cherry-barb/,False,Upgrade existing hub; add care and pair links,True
cherry-shrimp,/compatibility/cherry-shrimp/,/compatibility/cherry-shrimp/,,/wiki/cherry-shrimp/,False,Upgrade existing hub; add care and pair links,True
chili-rasbora,/compatibility/chili-rasbora/,/compatibility/chili-rasbora/,,/wiki/chili-rasbora/,False,Upgrade existing hub; add care and pair links,True
clown-knifefish,/compatibility/clown-knifefish/,/compatibility/clown-knifefish/,,,False,Upgrade existing hub; add care and pair links,True
clown-loach,/compatibility/clown-loach/,/compatibility/clown-loach/,,/wiki/clown-loach/,False,Upgrade existing hub; add care and pair links,True
